Timestamp,Close,High,Low,Open,Volume_(BTC),Volume_(Currency),conversionType,conversionSymbol,Weighted_Price
1747369980,103948,103964,103947,103964,0.2499,25972.39,force_direct,,103931.13245298118
1747370040,103944,103949,103944,103948,0.5665,58883.44,force_direct,,103942.52427184467
1747370100,103962,103967,103933,103944,0.007001,727.9,force_direct,,103970.86130552777
1747370160,103968,103968,103961,103962,0.1126,11707.43,force_direct,,103973.62344582593
1747370220,104005,104005,103968,103968,0.382,39734.05,force_direct,,104015.83769633509
1747370280,103981,104005,103981,104005,0.4067,42292.55,force_direct,,103989.55003688222
1747370340,103933,103981,103933,103981,0.3031,31502.64,force_direct,,103934.8069943913
1747370400,103907,103933,103907,103933,1.834,190634.71,force_direct,,103944.77099236641
1747370460,103879,103907,103877,103907,1.021,106102.14,force_direct,,103919.8237022527
1747370520,103902,103903,103874,103879,0.001536,159.55,force_direct,,103873.69791666667
1747370580,103858,103902,103857,103902,0.4814,50000.4,force_direct,,103864.5616950561
1747370640,103863,103898,103858,103858,0.1666,17302.03,force_direct,,103853.72148859543
1747370700,103915,103915,103863,103863,0.00524,544.5,force_direct,,103912.21374045801
1747370760,103920,103938,103915,103915,0.01072,1114.23,force_direct,,103939.36567164179
1747370820,103882,103925,103878,103920,0.04843,5031.98,force_direct,,103902.12678092091
1747370880,103857,103901,103857,103882,0.5505,57171.54,force_direct,,103853.84196185287
1747370940,103858,103863,103845,103857,0.005967,619.69,force_direct,,103852.85738226915
1747371000,103908,103911,103853,103858,0.00364,378.17,force_direct,,103892.85714285714
1747371060,103914,103917,103908,103908,0.01616,1679.2,force_direct,,103910.8910891089
1747371120,103910,103915,103910,103914,0.01762,1831.16,force_direct,,103925.0851305335
1747371180,103910,103921,103910,103910,0.09011,9363.73,force_direct,,103914.43790922206
1747371240,103924,103928,103910,103910,0.02524,2623.35,force_direct,,103936.21236133123
1747371300,103937,103963,103924,103924,0.001602,166.54,force_direct,,103957.55305867665
1747371360,103973,103979,103937,103937,0.01723,1791.67,force_direct,,103985.49042367964
1747371420,103916,103973,103916,103973,0.104,10814.76,force_direct,,103988.07692307694
1747371480,103911,103917,103900,103916,0.004427,460.02,force_direct,,103912.35599728934
1747371540,103945,103945,103911,103911,0.02745,2853.26,force_direct,,103943.89799635703
1747371600,103970,103974,103945,103945,0.0791,8224.44,force_direct,,103975.22123893806
1747371660,103983,104003,103970,103970,0.008956,931.33,force_direct,,103989.5042429656
1747371720,103984,104010,103971,103983,0.02728,2837.22,force_direct,,104003.66568914955
1747371780,103979,103988,103969,103984,1.034,107526.48,force_direct,,103990.79303675047
1747371840,103993,103998,103979,103979,0.1787,18582.02,force_direct,,103984.44320089536
1747371900,103993,103993,103991,103993,0.00105,109.19,force_direct,,103990.4761904762
1747371960,103984,103993,103984,103993,0.121,12582.06,force_direct,,103983.96694214876
1747372020,103995,103999,103984,103984,0.01052,1094.27,force_direct,,104018.0608365019
1747372080,103993,103996,103993,103995,0.06695,6962.21,force_direct,,103991.18745332338
1747372140,103989,103993,103985,103993,0.3298,34296.62,force_direct,,103992.17707701639
1747372200,104049,104049,103989,103989,0.01139,1184.46,force_direct,,103991.22036874451
1747372260,104006,104049,104006,104049,0.08068,8392.59,force_direct,,104023.17798710956
1747372320,103983,104006,103983,104006,0.004182,434.86,force_direct,,103983.73983739837
1747372380,103978,103983,103957,103983,0.1021,10619.63,force_direct,,104012.04701273261
1747372440,104023,104023,103978,103978,2.292,238350.25,force_direct,,103992.25567190228
1747372500,104021,104035,104021,104023,0.05293,5506.32,force_direct,,104030.22860381636
